PartitionKey,RowKey,BackupValue,CurrentValue
tenants:modamautomation5-rc,UseUserDisplayName,TRUE,
tenants:modamautomation5-rc,VideoSummary,true,
tenants:modamautomation5-rc,maxRunningJobsAuditingArchive,2,5
tenants:modamautomation6-rc,AllowLocalPageHookExecution,TRUE,true
tenants:modamautomation6-rc,AllowRecordSaveLock,true,
tenants:modamautomation6-rc,AnalyticsDataCaptureEnabled,TRUE,
tenants:modamautomation6-rc,AuditArchive,TRUE,
tenants:modamautomation6-rc,AuditTrailUI,TRUE,
tenants:modamautomation6-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation6-rc,BrandTemplateLicenseFlag,TRUE,false
tenants:modamautomation6-rc,DamUiBulkEditBatchSize,"""20""",10
tenants:modamautomation6-rc,EnableAIContentCoach,TRUE,
tenants:modamautomation6-rc,EnableAIContentItemAgents,true,
tenants:modamautomation6-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation6-rc,EnableAIPredictiveMetadata,TRUE,
tenants:modamautomation6-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation6-rc,EnableAIVisionCaptions,true,
tenants:modamautomation6-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation6-rc,EnableAzureSdkLogging,TRUE,
tenants:modamautomation6-rc,EnableBulkEdit,True,
tenants:modamautomation6-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation6-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation6-rc,EnableContentAutomationHub,true,
tenants:modamautomation6-rc,EnableDidYouMean,true,
tenants:modamautomation6-rc,EnableEnhancedTranscription,True,
tenants:modamautomation6-rc,EnableRecommendationCenter,true,
tenants:modamautomation6-rc,EnableSmartActionReview,true,
tenants:modamautomation6-rc,EnableSmartActions,true,
tenants:modamautomation6-rc,EnableSmartFacets,true,
tenants:modamautomation6-rc,EnableSmartSearch,true,
tenants:modamautomation6-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomation6-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomation6-rc,EnableVideoSummaryGeneration,true,
tenants:modamautomation6-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomation6-rc,ExtendSimpleTextSearch,TRUE,
tenants:modamautomation6-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation6-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation6-rc,PublicCDN,TRUE,
tenants:modamautomation6-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation6-rc,PublishUserEvents,TRUE,
tenants:modamautomation6-rc,SalesforceConnector,TRUE,
tenants:modamautomation6-rc,SimpleTextSearch,TRUE,
tenants:modamautomation6-rc,UseUserDisplayName,TRUE,
tenants:modamautomation6-rc,VideoSummary,true,
tenants:modamautomation6-rc,maxRunningJobsAuditingArchive,2,5
tenants:modamautomationgolden-rc,AllowRecordSaveLock,true,
tenants:modamautomationgolden-rc,AnalyticsDataCaptureEnabled,true,
tenants:modamautomationgolden-rc,AuditArchive,true,
tenants:modamautomationgolden-rc,AuditTrailUI,true,
tenants:modamautomationgolden-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomationgolden-rc,BrandTemplateLicenseFlag,true,false
tenants:modamautomationgolden-rc,DamUiBulkEditBatchSize,"""20""",10
tenants:modamautomationgolden-rc,ES7IndexConfiguration,"{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000}","{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000,""NestedObjectsLimit"":10000}"
tenants:modamautomationgolden-rc,EnableAIContentCoach,true,
tenants:modamautomationgolden-rc,EnableAIContentItemAgents,true,
tenants:modamautomationgolden-rc,EnableAIContentTypeResolution,true,
tenants:modamautomationgolden-rc,EnableAIPredictiveMetadata,true,
tenants:modamautomationgolden-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomationgolden-rc,EnableAIVisionCaptions,true,
tenants:modamautomationgolden-rc,EnableAzureSdkLogging,true,
tenants:modamautomationgolden-rc,EnableBulkEdit,True,
tenants:modamautomationgolden-rc,EnableChatGPTRecommendations,true,
tenants:modamautomationgolden-rc,EnableConfigurableSearchTab,true,
tenants:modamautomationgolden-rc,EnableEnhancedTranscription,True,
tenants:modamautomationgolden-rc,EnableSmartActionReview,true,
tenants:modamautomationgolden-rc,EnableSmartActions,true,
tenants:modamautomationgolden-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomationgolden-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomationgolden-rc,EnableVideoSummaryGeneration,true,
tenants:modamautomationgolden-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomationgolden-rc,ExtendSimpleTextSearch,true,
tenants:modamautomationgolden-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomationgolden-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomationgolden-rc,PublicCDN,true,
tenants:modamautomationgolden-rc,PublicCDNPassPhrase,alla,
tenants:modamautomationgolden-rc,PublishUserEvents,true,
